Year,Commodity,State,Yield_lb_per_acre,Acres_Harvested,Price_in_CWT,HUMIDITY_%,PH_soil_type,Population
2022,BARLEY,ALASKA,2016,"5,000",11.6667,73,5.8247,733.276
2021,BARLEY,ALASKA,2448,"5,000",11.4583,77,6.3574,734.923
2020,BARLEY,ALASKA,2064,"5,000",10.6250,71,6.3641,732.964
2019,BARLEY,ALASKA,1824,"5,000",10.8333,70,5.0145,733.603
2018,BARLEY,ALASKA,2064,"4,000",10.8333,75,6.1494,736.624
2017,BARLEY,ALASKA,2208,"5,200",10.9375,74,5.9507,740.983
2016,BARLEY,ALASKA,2352,"4,700",10.9375,73,5.9604,742.575
2015,BARLEY,ALASKA,1632,"4,300",11.3542,79,5.5614,738.43
2014,BARLEY,ALASKA,2040,"5,100",11.3542,77,7.4162,737.075
2013,BARLEY,ALASKA,1598.4,"3,300",11.2500,77,5.5834,737.626
2022,BARLEY,ARIZONA,6384,"16,000",15.4167,53,6.4300,7365.684
2021,BARLEY,ARIZONA,6000,"16,000",10.2083,37,5.5349,7272.487
2020,BARLEY,ARIZONA,5856,"8,000",9.4792,38,6.9040,7186.683
2019,BARLEY,ARIZONA,6048,"15,000",8.6458,46,6.2715,7291.843
2018,BARLEY,ARIZONA,4800,"11,000",8.0000,52,7.2243,7164.228
2017,BARLEY,ARIZONA,6288,"17,000",8.1458,52,6.1343,7048.088
2016,BARLEY,ARIZONA,6144,"16,000",8.4583,39,5.2064,6944.767
2015,BARLEY,ARIZONA,5760,"16,000",8.6458,42,7.7821,6832.81
2014,BARLEY,ARIZONA,6000,"32,000",9.2500,45,7.0628,6732.873
2013,BARLEY,ARIZONA,5664,"69,000",10.6875,43,7.7304,6634.69
2022,CORN,ARIZONA,12320,"45,000",15.2679,42,5.2862,7365.684
2021,CORN,ARIZONA,10136,"18,000",13.6607,49,6.7662,7272.487
2020,CORN,ARIZONA,11312,"29,000",9.6429,51,7.3828,7186.683
2019,CORN,ARIZONA,12936,"37,000",9.6429,50,5.6582,7291.843
2018,CORN,ARIZONA,12320,"20,000",8.8571,50,5.5434,7164.228
2017,CORN,ARIZONA,10920,"32,000",7.6964,43,6.2151,7048.088
2016,CORN,ARIZONA,12040,"50,000",6.4464,42,7.1203,6944.767
2015,CORN,ARIZONA,11760,"36,000",7.2679,56,5.9506,6832.81
2014,CORN,ARIZONA,11760,"28,000",7.7143,51,7.2367,6732.873
2013,CORN,ARIZONA,9912,"51,000",7.4821,52,6.5017,6634.69
2022,WHEAT,ARIZONA,6840,"84,000",18.5000,53,7.5925,7365.684
2021,WHEAT,ARIZONA,5400,"59,000",12.9667,53,5.8753,7272.487
2020,WHEAT,ARIZONA,5940,"49,000",12.6500,37,6.9324,7186.683
2019,WHEAT,ARIZONA,6240,"35,000",11.0167,36,6.9462,7291.843
2018,WHEAT,ARIZONA,6156,"77,000",9.2167,35,5.7392,7164.228
2017,WHEAT,ARIZONA,6048,"105,000",9.1833,46,6.7387,7048.088
2016,WHEAT,ARIZONA,5868,"103,000",8.0833,37,5.5948,6944.767
2015,WHEAT,ARIZONA,6060,"152,000",6.9333,38,6.9466,6832.81
2014,WHEAT,ARIZONA,6606,"83,000",8.9167,46,5.0121,6732.873
2013,WHEAT,ARIZONA,5964,"84,000",10.9167,47,6.3635,6634.69
2022,OATS,ARKANSAS,1952,"6,000",14.0625,46,6.8804,3046.404
2021,OATS,ARKANSAS,2880,"6,000",17.8125,70,7.3004,3028.443
2020,OATS,ARKANSAS,2048,"5,000",9.3750,68,6.5879,3014.348
2019,OATS,ARKANSAS,2240,"3,000",8.7500,64,7.2837,3014.348
2018,OATS,ARKANSAS,2400,"7,000",8.5938,64,7.0239,3012.161
2017,OATS,ARKANSAS,2720,"8,000",8.7500,63,6.9391,3003.855
2016,OATS,ARKANSAS,2336,"8,000",6.7188,70,7.8685,2991.815
2015,OATS,ARKANSAS,1920,"8,000",9.2188,69,5.0053,2979.732
2014,OATS,ARKANSAS,2880,"8,000",12.3438,70,6.1361,2968.759
2013,OATS,ARKANSAS,2336,"7,000",10.6250,64,7.5241,2960.459
2022,CORN,ARKANSAS,9688,"695,000",12.1071,65,5.7069,3046.404
2021,CORN,ARKANSAS,10304,"830,000",10.6250,71,5.7585,3028.443
2020,CORN,ARKANSAS,10304,"605,000",8.0179,71,6.3496,3014.348
2019,CORN,ARKANSAS,9800,"735,000",6.8929,69,6.0000,3020.985
2018,CORN,ARKANSAS,10136,"645,000",6.7857,69,5.4536,3012.161
2017,CORN,ARKANSAS,10248,"595,000",#VALUE!,72,6.3726,3003.855
2016,CORN,ARKANSAS,9576,"745,000",6.4107,68,5.1056,2991.815
2015,CORN,ARKANSAS,10136,"445,000",5.3750,69,5.9353,2979.732
2014,CORN,ARKANSAS,10472,"530,000",5.8571,68,5.1778,2968.759
2013,CORN,ARKANSAS,10416,"870,000",5.9643,67,6.4624,2960.459
2022,WHEAT,ARKANSAS,3180,"150,000",12.7167,72,7.0692,3046.404
2021,WHEAT,ARKANSAS,3480,"145,000",10.7333,70,7.4731,3028.443
2020,WHEAT,ARKANSAS,3300,"75,000",9.0667,68,6.1584,3014.348
2019,WHEAT,ARKANSAS,3120,"50,000",8.5333,68,7.5499,3020.985
2018,WHEAT,ARKANSAS,3300,"95,000",#VALUE!,71,6.0283,3012.161
2017,WHEAT,ARKANSAS,3120,"125,000",8.1667,68,6.6050,3003.855
2016,WHEAT,ARKANSAS,3240,"115,000",7.8333,67,6.5003,2991.815
2015,WHEAT,ARKANSAS,3360,"240,000",8.0000,65,5.9357,2979.732
2014,WHEAT,ARKANSAS,3780,"395,000",9.0000,67,7.0727,2968.759
2013,WHEAT,ARKANSAS,3720,"610,000",9.5000,68,5.3333,2960.459
2022,OATS,CALIFORNIA,2080,"6,000",#VALUE!,53,5.7499,39040.616
2021,OATS,CALIFORNIA,2080,"5,000",11.2500,67,6.9318,39145.06
2020,OATS,CALIFORNIA,2400,"4,000",9.3750,71,6.6580,39503.2
2019,OATS,CALIFORNIA,1920,"2,000",#VALUE!,69,6.5961,39503.2
2018,OATS,CALIFORNIA,2240,"6,000",#VALUE!,70,5.9705,39437.463
2017,OATS,CALIFORNIA,2080,"10,000",9.0625,71,6.1588,39337.785
2016,OATS,CALIFORNIA,2080,"11,000",11.8750,76,6.0479,39149.186
2015,OATS,CALIFORNIA,1920,"10,000",10.1563,61,5.9137,38904.296
2014,OATS,CALIFORNIA,3200,"10,000",10.0000,67,5.8554,38586.706
2013,OATS,CALIFORNIA,2560,"15,000",10.5625,64,5.7503,38253.768
2022,BARLEY,CALIFORNIA,2688,"19,000",16.4375,63,5.8526,39040.616
2021,BARLEY,CALIFORNIA,3024,"13,000",11.8750,63,6.4725,39145.06
2020,BARLEY,CALIFORNIA,2256,"33,000",9.6667,64,6.9671,39503.2
2019,BARLEY,CALIFORNIA,3168,"47,000",9.6042,67,6.0830,39437.61
2018,BARLEY,CALIFORNIA,3312,"24,000",10.0833,69,5.9190,39437.463
2017,BARLEY,CALIFORNIA,2400,"29,000",10.0417,71,6.2047,39337.785
2016,BARLEY,CALIFORNIA,3600,"60,000",8.9583,71,6.6008,39149.186
2015,BARLEY,CALIFORNIA,2640,"29,000",10.1042,67,6.0219,38904.296
2014,BARLEY,CALIFORNIA,3504,"25,000",10.9167,68,6.0336,38586.706
2013,BARLEY,CALIFORNIA,3600,"42,000",12.1042,67,6.2889,38253.768
2022,CORN,CALIFORNIA,9912,"20,000",13.7500,53,6.5506,39040.616
2021,CORN,CALIFORNIA,10528,"50,000",13.0357,67,5.5733,39145.06
2020,CORN,CALIFORNIA,10472,"60,000",8.4821,71,6.8292,39503.2
2019,CORN,CALIFORNIA,9408,"60,000",8.2143,69,5.7162,39437.61
2018,CORN,CALIFORNIA,9688,"65,000",7.8571,70,5.5499,39437.463
2017,CORN,CALIFORNIA,9352,"80,000",7.2500,71,6.5862,39337.785
2016,CORN,CALIFORNIA,10360,"100,000",6.7500,76,5.8931,39149.186
2015,CORN,CALIFORNIA,8792,"60,000",6.4464,61,5.9183,38904.296
2014,CORN,CALIFORNIA,9240,"95,000",6.9464,67,5.5887,38586.706
2013,CORN,CALIFORNIA,10696,"180,000",6.7500,64,6.5764,38253.768
2022,WHEAT,CALIFORNIA,5118,"105,000",17.5000,63,6.1781,39040.616
2021,WHEAT,CALIFORNIA,5226,"110,000",13.9333,63,6.6419,39145.06
2020,WHEAT,CALIFORNIA,4632,"92,000",10.7000,64,6.4890,39503.2
2019,WHEAT,CALIFORNIA,3564,"122,000",9.9167,67,5.6804,39437.61
2018,WHEAT,CALIFORNIA,4878,"150,000",7.5667,69,6.6254,39437.463
2017,WHEAT,CALIFORNIA,4092,"182,000",7.5833,71,6.5245,39337.785
2016,WHEAT,CALIFORNIA,4782,"217,000",6.9167,71,5.6962,39149.186
2015,WHEAT,CALIFORNIA,4746,"235,000",5.8500,67,6.8039,38904.296
2014,WHEAT,CALIFORNIA,5004,"220,000",7.3333,68,6.2528,38586.706
2013,WHEAT,CALIFORNIA,4950,"394,000",7.9167,67,6.0927,38253.768
2018,OATS,COLORADO,1600,"7,000",11.4375,50,6.2343,5697.155
2017,OATS,COLORADO,2080,"9,000",10.0000,52,5.7226,5617.421
2016,OATS,COLORADO,2560,"10,000",8.3438,47,6.4306,5543.844
2015,OATS,COLORADO,2560,"10,000",10.9375,51,5.9840,5454.328
2014,OATS,COLORADO,1920,"9,000",11.3125,48,6.8016,5352.637
2013,OATS,COLORADO,2080,"12,000",15.3438,46,6.4999,5270.774
2022,BARLEY,COLORADO,5328,"40,000",11.7917,57,6.2656,5841.039
2021,BARLEY,COLORADO,5328,"47,000",10.2917,52,6.7273,5811.596
2020,BARLEY,COLORADO,6960,"47,000",10.1875,47,6.3252,5785.219
2019,BARLEY,COLORADO,6624,"52,000",10.1458,52,6.8075,5758.486
2018,BARLEY,COLORADO,6960,"52,000",9.4792,50,6.6711,5697.155
2017,BARLEY,COLORADO,6336,"68,000",9.5833,52,6.6487,5617.421
2016,BARLEY,COLORADO,6192,"75,000",11.0625,47,6.4391,5543.844
2015,BARLEY,COLORADO,6240,"63,000",12.9167,51,6.4745,5454.328
2014,BARLEY,COLORADO,5952,"54,000",12.0417,48,5.8716,5352.637
2013,BARLEY,COLORADO,6384,"58,000",11.9375,46,5.7306,5270.774
2022,CORN,COLORADO,6776,"970,000",13.1429,57,5.8504,5841.039
2021,CORN,COLORADO,7224,"1,140,000",10.8571,52,5.7916,5811.596
2020,CORN,COLORADO,6496,"1,060,000",8.2500,47,6.7400,5785.219
2019,CORN,COLORADO,6888,"1,300,000",6.5714,52,6.2724,5758.486
2018,CORN,COLORADO,7224,"1,190,000",6.6071,50,5.7152,5697.155
2017,CORN,COLORADO,8008,"1,300,000",7.3393,52,5.7735,5617.421
2016,CORN,COLORADO,7672,"1,170,000",6.9107,47,5.5842,5543.844
2015,CORN,COLORADO,7952,"950,000",6.0536,51,5.7873,5454.328
2014,CORN,COLORADO,8176,"1,010,000",7.0179,48,5.7760,5352.637
2013,CORN,COLORADO,7336,"980,000",7.3393,46,6.8648,5270.774
2022,WHEAT,COLORADO,1500,"1,430,000",13.8833,57,6.1924,5841.039
2021,WHEAT,COLORADO,2220,"1,880,000",11.4000,52,6.6368,5811.596
2020,WHEAT,COLORADO,1620,"1,500,000",7.7000,47,5.8264,5785.219
2019,WHEAT,COLORADO,2940,"2,000,000",6.6833,52,6.9604,5758.486
2018,WHEAT,COLORADO,2166,"1,954,000",6.5667,50,6.1128,5697.155
2017,WHEAT,COLORADO,2592,"2,029,000",7.9167,52,6.7084,5617.421
2016,WHEAT,COLORADO,2892,"2,200,000",6.5000,47,5.5615,5543.844
2015,WHEAT,COLORADO,2226,"2,197,000",5.3667,51,5.8732,5454.328
2014,WHEAT,COLORADO,2286,"2,358,000",7.0667,48,6.9958,5352.637
2013,WHEAT,COLORADO,1518,"1,639,000",9.4500,46,5.7148,5270.774
2022,BARLEY,DELAWARE,4176,"16,000",10.6250,66,6.7807,1019.459
2021,BARLEY,DELAWARE,3600,"14,000",9.3750,67,5.5137,1004.881
2020,BARLEY,DELAWARE,4032,"15,000",7.1875,66,5.7984,991.862
2019,BARLEY,DELAWARE,3840,"14,000",6.9792,67,6.3525,976.668
2018,BARLEY,DELAWARE,3744,"12,000",5.4167,65,6.8226,966.985
2017,BARLEY,DELAWARE,4080,"18,000",6.0417,66,6.6554,957.942
2016,BARLEY,DELAWARE,3648,"25,000",5.5000,66,6.1213,949.989
2015,BARLEY,DELAWARE,3840,"22,000",5.8333,66,5.7908,942.065
2014,BARLEY,DELAWARE,4128,"31,000",7.6042,67,6.4744,933.131
2013,BARLEY,DELAWARE,3744,"33,000",9.8958,66,6.4551,924.062
2022,CORN,DELAWARE,9520,"156,000",11.9286,67,6.6070,1019.459
2021,CORN,DELAWARE,10304,"167,000",11.6964,65,6.3306,1004.881
2020,CORN,DELAWARE,8960,"176,000",10.0000,66,6.5286,991.862
2019,CORN,DELAWARE,9016,"180,000",7.6786,66,5.7217,976.668
2018,CORN,DELAWARE,8120,"165,000",#VALUE!,66,6.6442,966.985
2017,CORN,DELAWARE,10584,"171,000",7.2857,67,6.3767,957.942
2016,CORN,DELAWARE,9520,"164,000",#VALUE!,66,6.2470,949.989
2015,CORN,DELAWARE,10752,"164,000",7.5893,67,6.6567,942.065
2014,CORN,DELAWARE,11200,"168,000",7.1429,65,6.2048,933.131
2013,CORN,DELAWARE,9296,"174,000",7.9464,66,6.1589,924.062
2022,WHEAT,DELAWARE,4560,"54,000",12.3333,66,6.3857,1019.459
2021,WHEAT,DELAWARE,4200,"35,000",12.2500,65,6.4178,1004.881
2020,WHEAT,DELAWARE,4380,"55,000",9.6667,63,6.3812,991.862
2019,WHEAT,DELAWARE,4320,"50,000",8.2500,62,6.8779,976.668
2018,WHEAT,DELAWARE,4260,"45,000",8.2500,63,7.4860,966.985
2017,WHEAT,DELAWARE,4380,"60,000",7.6667,66,6.9203,957.942
2016,WHEAT,DELAWARE,4020,"65,000",7.4167,67,5.9969,949.989
2015,WHEAT,DELAWARE,3900,"65,000",8.5833,66,6.3912,942.065
2014,WHEAT,DELAWARE,4320,"75,000",9.9167,67,7.1528,933.131
2013,WHEAT,DELAWARE,3840,"78,000",11.4167,65,5.9890,924.062
2022,CORN,FLORIDA,9184,"56,000",13.2500,75,6.2310,22245.521
2021,CORN,FLORIDA,9856,"66,000",10.7500,76,7.5508,21830.708
2020,CORN,FLORIDA,7728,"61,000",10.1250,78,7.0106,21591.299
2019,CORN,FLORIDA,9016,"54,000",7.8393,76,8.7538,21492.056
2018,CORN,FLORIDA,8792,"62,000",7.3393,74,8.7182,21254.926
2017,CORN,FLORIDA,9016,"37,000",6.2857,73,7.9766,20977.089
2016,CORN,FLORIDA,8120,"40,000",7.8571,74,6.5155,20627.237
2015,CORN,FLORIDA,7896,"50,000",7.2143,75,8.4901,20219.111
2014,CORN,FLORIDA,7560,"40,000",7.0893,76,6.5764,19853.88
2013,CORN,FLORIDA,7448,"78,000",6.9643,75,6.4818,19551.678
2018,WHEAT,FLORIDA,2160,"10,000",11.6833,75,7.9666,21254.926
2017,WHEAT,FLORIDA,2220,"10,000",11.7667,76,8.1408,20977.089
2016,WHEAT,FLORIDA,1800,"15,000",11.1667,78,7.2290,20627.237
2015,WHEAT,FLORIDA,2580,"15,000",15.2333,76,6.4925,20219.111
2014,WHEAT,FLORIDA,2340,"10,000",13.9333,74,7.5286,19853.88
2013,WHEAT,FLORIDA,3540,"19,000",14.5667,73,7.7014,19551.678
2022,OATS,GEORGIA,1632,"15,000",21.7188,68,8.5200,10913.15
2021,OATS,GEORGIA,2240,"20,000",17.1875,70,6.6209,10790.385
2020,OATS,GEORGIA,1728,"20,000",13.5938,71,8.1044,10732.39
2019,OATS,GEORGIA,1760,"15,000",12.8125,70,6.2041,10732.39
2018,OATS,GEORGIA,2272,"15,000",12.9688,68,6.0511,10519.389
2017,OATS,GEORGIA,1568,"15,000",11.4688,71,7.6910,10417.031
2016,OATS,GEORGIA,1856,"15,000",11.2500,68,7.8292,10308.442
2015,OATS,GEORGIA,1440,"25,000",12.8125,71,6.7616,10183.353
2014,OATS,GEORGIA,1728,"20,000",14.0625,68,6.6544,10071.204
2013,OATS,GEORGIA,1920,"18,000",11.8750,69,6.1295,9975.592
2022,CORN,GEORGIA,9800,"375,000",12.6786,68,8.8293,10913.15
2021,CORN,GEORGIA,10192,"435,000",10.2857,70,8.6217,10790.385
2020,CORN,GEORGIA,10080,"390,000",9.0714,71,8.2049,10732.39
2019,CORN,GEORGIA,8960,"350,000",8.0893,70,6.1804,10628.02
2018,CORN,GEORGIA,9856,"285,000",7.9821,68,7.9790,10519.389
2017,CORN,GEORGIA,9856,"245,000",6.5893,71,7.8631,10417.031
2016,CORN,GEORGIA,9240,"340,000",5.5179,68,6.9678,10308.442
2015,CORN,GEORGIA,9576,"285,000",6.5893,71,6.2066,10183.353
2014,CORN,GEORGIA,9520,"310,000",7.2500,68,8.8687,10071.204
2013,CORN,GEORGIA,9800,"465,000",6.9643,69,8.7661,9975.592
2022,WHEAT,GEORGIA,3480,"100,000",13.8333,68,8.7363,10913.15
2021,WHEAT,GEORGIA,3360,"110,000",10.9167,70,8.0811,10790.385
2020,WHEAT,GEORGIA,3300,"85,000",8.6667,71,6.1382,10732.39
2019,WHEAT,GEORGIA,3360,"50,000",#VALUE!,70,7.4966,10628.02
2018,WHEAT,GEORGIA,3240,"70,000",8.1333,68,8.3802,10519.389
2017,WHEAT,GEORGIA,2820,"70,000",7.4333,71,6.2896,10417.031
2016,WHEAT,GEORGIA,2760,"110,000",7.7667,68,6.5868,10308.442
2015,WHEAT,GEORGIA,2580,"145,000",8.6167,71,6.8966,10183.353
2014,WHEAT,GEORGIA,2940,"230,000",9.3667,68,7.8067,10071.204
2013,WHEAT,GEORGIA,3600,"360,000",11.7333,69,7.1507,9975.592
2022,OATS,IDAHO,2048,"16,000",15.3125,55,6.6492,1938.996
2021,OATS,IDAHO,2304,"13,000",14.8438,58,7.7786,1904.537
2020,OATS,IDAHO,3264,"16,000",9.8438,56,6.3587,1849.339
2019,OATS,IDAHO,2944,"12,000",10.2188,57,8.2555,1849.339
2018,OATS,IDAHO,2688,"10,000",8.7500,57,6.4561,1752.074
2017,OATS,IDAHO,2272,"10,000",8.5313,58,6.6131,1719.745
2016,OATS,IDAHO,2656,"15,000",7.9688,60,8.1654,1684.036
2015,OATS,IDAHO,2752,"15,000",8.9688,59,7.6487,1652.495
2014,OATS,IDAHO,2624,"15,000",8.2500,58,6.5459,1632.248
2013,OATS,IDAHO,2336,"15,000",11.8750,56,7.1042,1612.053
2022,BARLEY,IDAHO,5328,"540,000",15.8542,55,7.3581,1938.996
2021,BARLEY,IDAHO,4272,"500,000",11.2083,58,6.4740,1904.537
2020,BARLEY,IDAHO,5280,"500,000",10.2500,56,7.8403,1849.339
2019,BARLEY,IDAHO,4992,"530,000",10.4583,57,7.0648,1789.06
2018,BARLEY,IDAHO,4848,"530,000",10.4792,57,7.5990,1752.074
2017,BARLEY,IDAHO,4560,"510,000",9.8958,58,6.7156,1719.745
2016,BARLEY,IDAHO,5136,"580,000",10.8125,60,6.8171,1684.036
2015,BARLEY,IDAHO,4656,"580,000",12.2083,59,7.9854,1652.495
2014,BARLEY,IDAHO,4512,"550,000",10.6458,58,7.5453,1632.248
2013,BARLEY,IDAHO,4464,"620,000",13.3750,56,7.7290,1612.053
2022,CORN,IDAHO,12096,"105,000",13.1607,55,7.3550,1938.996
2021,CORN,IDAHO,11760,"115,000",10.8036,58,7.3131,1904.537
2020,CORN,IDAHO,11144,"130,000",8.5714,56,7.7850,1849.339
2019,CORN,IDAHO,11480,"150,000",7.9821,57,6.3070,1789.06
2018,CORN,IDAHO,11928,"125,000",7.7679,57,6.4040,1752.074
2017,CORN,IDAHO,11368,"115,000",7.2143,58,7.5993,1719.745
2016,CORN,IDAHO,10528,"100,000",6.3393,60,7.2170,1684.036
2015,CORN,IDAHO,11592,"70,000",5.5179,59,7.5611,1652.495
2014,CORN,IDAHO,11200,"80,000",5.8929,58,7.4895,1632.248
2013,CORN,IDAHO,10136,"115,000",5.9643,56,6.6097,1612.053
2022,WHEAT,IDAHO,5208,"1,077,000",13.3833,55,7.4768,1938.996
2021,WHEAT,IDAHO,4056,"1,132,000",11.4667,58,7.3255,1904.537
2020,WHEAT,IDAHO,5796,"1,154,000",8.5167,56,6.4894,1849.339
2019,WHEAT,IDAHO,5268,"1,125,000",8.1667,57,7.7864,1789.06
2018,WHEAT,IDAHO,5514,"1,136,000",10.6500,57,6.4084,1752.074
2017,WHEAT,IDAHO,4908,"1,109,000",9.0333,58,8.4239,1719.745
2016,WHEAT,IDAHO,5484,"1,125,000",8.4500,60,8.7200,1684.036
2015,WHEAT,IDAHO,4644,"1,155,000",12.3667,59,7.8120,1652.495
2014,WHEAT,IDAHO,4704,"1,196,000",12.5000,58,6.3172,1632.248
2013,WHEAT,IDAHO,4932,"1,261,000",13.3167,56,7.1144,1612.053
2022,OATS,ILLINOIS,2656,"10,000",14.7188,70,8.1359,12582.515
2021,OATS,ILLINOIS,2656,"15,000",15.4063,69,7.7142,12690.341
2020,OATS,ILLINOIS,1856,"15,000",13.5938,72,7.1038,12790.357
2019,OATS,ILLINOIS,2080,"10,000",12.8125,72,8.8615,12790.357
2018,OATS,ILLINOIS,2656,"25,000",9.7500,71,7.8611,12724.685
2017,OATS,ILLINOIS,2528,"20,000",10.5938,70,7.4527,12779.893
2016,OATS,ILLINOIS,2592,"20,000",7.5000,68,7.1681,12821.709
2015,OATS,ILLINOIS,2464,"25,000",9.0313,69,7.2631,12859.585
2014,OATS,ILLINOIS,2560,"25,000",14.3125,70,5.6860,12885.092
2013,OATS,ILLINOIS,2208,"25,000",12.7188,69,5.7592,12895.778
2022,CORN,ILLINOIS,11984,"10,600,000",11.4286,72,5.8732,12582.515
2021,CORN,ILLINOIS,11312,"10,850,000",10.6429,72,5.9267,12690.341
2020,CORN,ILLINOIS,10696,"11,100,000",7.9643,71,5.9556,12790.357
2019,CORN,ILLINOIS,10136,"10,200,000",6.3393,70,5.9499,12667.017
2018,CORN,ILLINOIS,11760,"10,800,000",,68,5.7892,12724.685
2017,CORN,ILLINOIS,11256,"10,950,000",,69,5.5810,12779.893
2016,CORN,ILLINOIS,11032,"11,450,000",6.6071,70,5.6899,12821.709
2015,CORN,ILLINOIS,9800,"11,500,000",6.5357,69,5.7942,12859.585
2014,CORN,ILLINOIS,11200,"11,750,000",7.0000,72,5.7482,12885.092
2013,CORN,ILLINOIS,9968,"11,800,000",6.8036,72,5.5665,12895.778
2022,WHEAT,ILLINOIS,4740,"560,000",14.1000,71,5.8094,12582.515
2021,WHEAT,ILLINOIS,4740,"610,000",10.7167,70,5.8873,12690.341
2020,WHEAT,ILLINOIS,4080,"520,000",8.9833,68,5.9981,12790.357
2019,WHEAT,ILLINOIS,4020,"550,000",8.3833,69,5.7927,12667.017
2018,WHEAT,ILLINOIS,3960,"560,000",7.6833,70,5.9123,12724.685
2017,WHEAT,ILLINOIS,4560,"470,000",6.4667,69,5.7884,12779.893
2016,WHEAT,ILLINOIS,4440,"470,000",5.1333,72,5.7282,12821.709
2015,WHEAT,ILLINOIS,3900,"520,000",7.1500,72,5.8339,12859.585
2014,WHEAT,ILLINOIS,4020,"670,000",9.8000,71,5.9675,12885.092
2013,WHEAT,ILLINOIS,4020,"840,000",11.6167,70,5.6251,12895.778
2015,OATS,INDIANA,1888,"5,000",9.7813,70,5.5156,6611.442
2014,OATS,INDIANA,2368,"10,000",14.2188,72,5.9547,6596.019
2013,OATS,INDIANA,2272,"10,000",13.2813,72,5.7464,6570.575
2022,CORN,INDIANA,10640,"5,130,000",11.5714,72,5.8773,6832.274
2021,CORN,INDIANA,10920,"5,270,000",10.8393,71,5.9800,6813.798
2020,CORN,INDIANA,10472,"5,250,000",8.3036,70,5.6360,6789.098
2019,CORN,INDIANA,9464,"4,770,000",6.8571,73,5.6352,6731.01
2018,CORN,INDIANA,10584,"5,120,000",7.8929,69,5.6792,6698.481
2017,CORN,INDIANA,10080,"5,200,000",8.1250,68,5.6701,6662.068
2016,CORN,INDIANA,9688,"5,470,000",7.0714,70,5.7242,6637.898
2015,CORN,INDIANA,8400,"5,480,000",6.6250,72,5.8113,6611.442
2014,CORN,INDIANA,10528,"5,770,000",7.5000,72,5.7834,6596.019
2013,CORN,INDIANA,9912,"5,830,000",7.8929,72,5.6078,6570.575
2022,WHEAT,INDIANA,4860,"240,000",13.3500,71,5.9470,6832.274
2021,WHEAT,INDIANA,5100,"270,000",10.7000,70,5.8520,6813.798
2020,WHEAT,INDIANA,4200,"250,000",8.8000,73,5.8241,6789.098
2019,WHEAT,INDIANA,3720,"260,000",8.4333,69,5.5030,6731.01
2018,WHEAT,INDIANA,4260,"260,000",8.1667,68,5.8216,6698.481
2017,WHEAT,INDIANA,4440,"240,000",7.7167,70,5.7114,6662.068
2016,WHEAT,INDIANA,4860,"280,000",6.7333,72,5.5149,6637.898
2015,WHEAT,INDIANA,4080,"260,000",7.6667,72,5.9962,6611.442
2014,WHEAT,INDIANA,4560,"335,000",8.1667,72,5.6954,6596.019
