,Year,Commodity,State,Yield_lb_per_acre,Acres_Harvested,Price_in_CWT,HUMIDITY_%,PH_soil_type,Population,prop_aggressive
84,2018,WHEAT,CALIFORNIA,4878.0,150000,7.566666667,69,6.625404348,39437.463,0.21320667759115117
85,2017,WHEAT,CALIFORNIA,4092.0,182000,7.583333333,71,6.524478032,39337.785,0.25302046519273447
86,2016,WHEAT,CALIFORNIA,4782.0,217000,6.916666667,71,5.696205468,39149.186,0.3057829759584146
87,2015,WHEAT,CALIFORNIA,4746.0,235000,5.85,67,6.803931519,38904.296,0.3259488516044958
88,2014,WHEAT,CALIFORNIA,5004.0,220000,7.333333333,68,6.252797548,38586.706,0.32690507395618795
89,2013,WHEAT,CALIFORNIA,4950.0,394000,7.916666667,67,6.092725883,38253.768,0.3082536487166583
90,2018,OATS,COLORADO,1600.0,7000,11.4375,50,6.234330356,5697.155,0.24371750433275563
91,2017,OATS,COLORADO,2080.0,9000,10.0,52,5.722579819,5617.421,0.2298636926889715
92,2016,OATS,COLORADO,2560.0,10000,8.34375,47,6.430616465,5543.844,0.3119266055045872
93,2015,OATS,COLORADO,2560.0,10000,10.9375,51,5.983952675,5454.328,0.3336980306345733
94,2014,OATS,COLORADO,1920.0,9000,11.3125,48,6.80163854,5352.637,0.34728682170542635
95,2013,OATS,COLORADO,2080.0,12000,15.34375,46,6.499936446,5270.774,0.3020833333333333
96,2019,BARLEY,COLORADO,6624.0,52000,10.14583333,52,6.807487794,5758.486,0.23333333333333334
97,2018,BARLEY,COLORADO,6960.0,52000,9.479166667,50,6.671085817,5697.155,0.24371750433275563
98,2017,BARLEY,COLORADO,6336.0,68000,9.583333333,52,6.648725327,5617.421,0.2298636926889715
99,2016,BARLEY,COLORADO,6192.0,75000,11.0625,47,6.439071996,5543.844,0.3119266055045872
100,2015,BARLEY,COLORADO,6240.0,63000,12.91666667,51,6.474476516,5454.328,0.3336980306345733
101,2014,BARLEY,COLORADO,5952.0,54000,12.04166667,48,5.871647806,5352.637,0.34728682170542635
102,2013,BARLEY,COLORADO,6384.0,58000,11.9375,46,5.730617109,5270.774,0.3020833333333333
103,2019,CORN,COLORADO,6888.0,1300000,6.571428571,52,6.272417541,5758.486,0.23333333333333334
104,2018,CORN,COLORADO,7224.0,1190000,6.607142857,50,5.715208817,5697.155,0.24371750433275563
105,2017,CORN,COLORADO,8008.0,1300000,7.339285714,52,5.773454729,5617.421,0.2298636926889715
106,2016,CORN,COLORADO,7672.0,1170000,6.910714286,47,5.584171461,5543.844,0.3119266055045872
107,2015,CORN,COLORADO,7952.0,950000,6.053571429,51,5.787268394,5454.328,0.3336980306345733
108,2014,CORN,COLORADO,8176.0,1010000,7.017857143,48,5.77597783,5352.637,0.34728682170542635
109,2013,CORN,COLORADO,7336.0,980000,7.339285714,46,6.864793607,5270.774,0.3020833333333333
110,2019,WHEAT,COLORADO,2940.0,2000000,6.683333333,52,6.960358276,5758.486,0.23333333333333334
111,2018,WHEAT,COLORADO,2166.0,1954000,6.566666667,50,6.11275104,5697.155,0.24371750433275563
112,2017,WHEAT,COLORADO,2592.0,2029000,7.916666667,52,6.708446922,5617.421,0.2298636926889715
113,2016,WHEAT,COLORADO,2892.0,2200000,6.5,47,5.561510732,5543.844,0.3119266055045872
114,2015,WHEAT,COLORADO,2226.0,2197000,5.366666667,51,5.873242491,5454.328,0.3336980306345733
115,2014,WHEAT,COLORADO,2286.0,2358000,7.066666667,48,6.995843776,5352.637,0.34728682170542635
116,2013,WHEAT,COLORADO,1518.0,1639000,9.45,46,5.714799723,5270.774,0.3020833333333333
117,2019,BARLEY,DELAWARE,3840.0,14000,6.979166667,67,6.352471866,976.668,0.20408163265306123
118,2018,BARLEY,DELAWARE,3744.0,12000,5.416666667,65,6.822586546,966.985,0.2914438502673797
119,2017,BARLEY,DELAWARE,4080.0,18000,6.041666667,66,6.655426355,957.942,0.24607329842931938
120,2016,BARLEY,DELAWARE,3648.0,25000,5.5,66,6.121294041,949.989,0.2608695652173913
121,2015,BARLEY,DELAWARE,3840.0,22000,5.833333333,66,5.790770203,942.065,0.2894736842105263
122,2014,BARLEY,DELAWARE,4128.0,31000,7.604166667,67,6.47444292,933.131,0.3728813559322034
123,2013,BARLEY,DELAWARE,3744.0,33000,9.895833333,66,6.455116637,924.062,0.23214285714285715
124,2019,CORN,DELAWARE,9016.0,180000,7.678571429,66,5.721667141,976.668,0.20408163265306123
125,2018,CORN,DELAWARE,8120.0,165000,,66,6.644205485,966.985,0.2914438502673797
126,2017,CORN,DELAWARE,10584.0,171000,7.285714286,67,6.376651091,957.942,0.24607329842931938
127,2016,CORN,DELAWARE,9520.0,164000,,66,6.247040422,949.989,0.2608695652173913
128,2015,CORN,DELAWARE,10752.0,164000,7.589285714,67,6.656730008,942.065,0.2894736842105263
129,2014,CORN,DELAWARE,11200.0,168000,7.142857143,65,6.2048017,933.131,0.3728813559322034
130,2013,CORN,DELAWARE,9296.0,174000,7.946428571,66,6.158860284,924.062,0.23214285714285715
131,2019,WHEAT,DELAWARE,4320.0,50000,8.25,62,6.877869005,976.668,0.20408163265306123
132,2018,WHEAT,DELAWARE,4260.0,45000,8.25,63,7.485996067,966.985,0.2914438502673797
133,2017,WHEAT,DELAWARE,4380.0,60000,7.666666667,66,6.920251378,957.942,0.24607329842931938
134,2016,WHEAT,DELAWARE,4020.0,65000,7.416666667,67,5.996932037,949.989,0.2608695652173913
135,2015,WHEAT,DELAWARE,3900.0,65000,8.583333333,66,6.391173589,942.065,0.2894736842105263
136,2014,WHEAT,DELAWARE,4320.0,75000,9.916666667,67,7.152811172,933.131,0.3728813559322034
137,2013,WHEAT,DELAWARE,3840.0,78000,11.41666667,65,5.988992796,924.062,0.23214285714285715
138,2019,CORN,FLORIDA,9016.0,54000,7.839285714,76,8.753795334,21492.056,0.20112302194997447
139,2018,CORN,FLORIDA,8792.0,62000,7.339285714,74,8.718192847,21254.926,0.23626011387473778
140,2017,CORN,FLORIDA,9016.0,37000,6.285714286,73,7.976607593,20977.089,0.23067010309278352
141,2016,CORN,FLORIDA,8120.0,40000,7.857142857,74,6.515499549,20627.237,0.32957393483709274
142,2015,CORN,FLORIDA,7896.0,50000,7.214285714,75,8.490127142,20219.111,0.3446277307177887
143,2014,CORN,FLORIDA,7560.0,40000,7.089285714,76,6.576415562,19853.88,0.3688324377137274
144,2013,CORN,FLORIDA,7448.0,78000,6.964285714,75,6.481783043,19551.678,0.3807968647942521
145,2018,WHEAT,FLORIDA,2160.0,10000,11.68333333,75,7.966605025,21254.926,0.23626011387473778
146,2017,WHEAT,FLORIDA,2220.0,10000,11.76666667,76,8.140825437,20977.089,0.23067010309278352
147,2016,WHEAT,FLORIDA,1800.0,15000,11.16666667,78,7.228963452,20627.237,0.32957393483709274
148,2015,WHEAT,FLORIDA,2580.0,15000,15.23333333,76,6.492546046,20219.111,0.3446277307177887
149,2014,WHEAT,FLORIDA,2340.0,10000,13.93333333,74,7.528599957,19853.88,0.3688324377137274
150,2013,WHEAT,FLORIDA,3540.0,19000,14.56666667,73,7.701446446,19551.678,0.3807968647942521
151,2019,OATS,GEORGIA,1760.0,15000,12.8125,70,6.204090835,10732.39,0.17917511832319136
152,2018,OATS,GEORGIA,2272.0,15000,12.96875,68,6.051091339,10519.389,0.21366919147437027
153,2017,OATS,GEORGIA,1568.0,15000,11.46875,71,7.690962338,10417.031,0.24958217270194985
154,2016,OATS,GEORGIA,1856.0,15000,11.25,68,7.829211144,10308.442,0.3513761467889908
155,2015,OATS,GEORGIA,1440.0,25000,12.8125,71,6.761599706,10183.353,0.36129647283126787
156,2014,OATS,GEORGIA,1728.0,20000,14.0625,68,6.654425315,10071.204,0.34434434434434436
157,2013,OATS,GEORGIA,1920.0,18000,11.875,69,6.129533877,9975.592,0.3269230769230769
158,2019,CORN,GEORGIA,8960.0,350000,8.089285714,70,6.18042747,10628.02,0.17917511832319136
159,2018,CORN,GEORGIA,9856.0,285000,7.982142857,68,7.978996755,10519.389,0.21366919147437027
160,2017,CORN,GEORGIA,9856.0,245000,6.589285714,71,7.863113671,10417.031,0.24958217270194985
161,2016,CORN,GEORGIA,9240.0,340000,5.517857143,68,6.967843048,10308.442,0.3513761467889908
162,2015,CORN,GEORGIA,9576.0,285000,6.589285714,71,6.206582193,10183.353,0.36129647283126787
163,2014,CORN,GEORGIA,9520.0,310000,7.25,68,8.868741443,10071.204,0.34434434434434436
164,2013,CORN,GEORGIA,9800.0,465000,6.964285714,69,8.766128654,9975.592,0.3269230769230769
165,2019,WHEAT,GEORGIA,3360.0,50000,,70,7.496645259,10628.02,0.17917511832319136
166,2018,WHEAT,GEORGIA,3240.0,70000,8.133333333,68,8.380185271,10519.389,0.21366919147437027
167,2017,WHEAT,GEORGIA,2820.0,70000,7.433333333,71,6.289614016,10417.031,0.24958217270194985
168,2016,WHEAT,GEORGIA,2760.0,110000,7.766666667,68,6.586777189,10308.442,0.3513761467889908
169,2015,WHEAT,GEORGIA,2580.0,145000,8.616666667,71,6.89655198,10183.353,0.36129647283126787
170,2014,WHEAT,GEORGIA,2940.0,230000,9.366666667,68,7.806747656,10071.204,0.34434434434434436
171,2013,WHEAT,GEORGIA,3600.0,360000,11.73333333,69,7.150681303,9975.592,0.3269230769230769
172,2019,OATS,IDAHO,2944.0,12000,10.21875,57,8.255450758,1849.339,0.21171171171171171
173,2018,OATS,IDAHO,2688.0,10000,8.75,57,6.456148474,1752.074,0.2391304347826087
174,2017,OATS,IDAHO,2272.0,10000,8.53125,58,6.613072145,1719.745,0.38172715894868586
175,2016,OATS,IDAHO,2656.0,15000,7.96875,60,8.165359297,1684.036,0.35260115606936415
176,2015,OATS,IDAHO,2752.0,15000,8.96875,59,7.64867466,1652.495,0.3157894736842105
177,2014,OATS,IDAHO,2624.0,15000,8.25,58,6.545888558,1632.248,0.2727272727272727
178,2013,OATS,IDAHO,2336.0,15000,11.875,56,7.104224797,1612.053,0.1896551724137931
179,2019,BARLEY,IDAHO,4992.0,530000,10.45833333,57,7.064790365,1789.06,0.21171171171171171
180,2018,BARLEY,IDAHO,4848.0,530000,10.47916667,57,7.599033472,1752.074,0.2391304347826087
181,2017,BARLEY,IDAHO,4560.0,510000,9.895833333,58,6.715587232,1719.745,0.38172715894868586
182,2016,BARLEY,IDAHO,5136.0,580000,10.8125,60,6.81712422,1684.036,0.35260115606936415
183,2015,BARLEY,IDAHO,4656.0,580000,12.20833333,59,7.985417393,1652.495,0.3157894736842105
184,2014,BARLEY,IDAHO,4512.0,550000,10.64583333,58,7.545258424,1632.248,0.2727272727272727
185,2013,BARLEY,IDAHO,4464.0,620000,13.375,56,7.728998197,1612.053,0.1896551724137931
186,2019,CORN,IDAHO,11480.0,150000,7.982142857,57,6.307004923,1789.06,0.21171171171171171
187,2018,CORN,IDAHO,11928.0,125000,7.767857143,57,6.403982316,1752.074,0.2391304347826087
188,2017,CORN,IDAHO,11368.0,115000,7.214285714,58,7.599279991,1719.745,0.38172715894868586
189,2016,CORN,IDAHO,10528.0,100000,6.339285714,60,7.217018459,1684.036,0.35260115606936415
190,2015,CORN,IDAHO,11592.0,70000,5.517857143,59,7.561108006,1652.495,0.3157894736842105
191,2014,CORN,IDAHO,11200.0,80000,5.892857143,58,7.489545074,1632.248,0.2727272727272727
192,2013,CORN,IDAHO,10136.0,115000,5.964285714,56,6.609696734,1612.053,0.1896551724137931
193,2019,WHEAT,IDAHO,5268.0,1125000,8.166666667,57,7.786366322,1789.06,0.21171171171171171
194,2018,WHEAT,IDAHO,5514.0,1136000,10.65,57,6.408437886,1752.074,0.2391304347826087
195,2017,WHEAT,IDAHO,4908.0,1109000,9.033333333,58,8.423873703,1719.745,0.38172715894868586
196,2016,WHEAT,IDAHO,5484.0,1125000,8.45,60,8.719960893,1684.036,0.35260115606936415
197,2015,WHEAT,IDAHO,4644.0,1155000,12.36666667,59,7.811997977,1652.495,0.3157894736842105
198,2014,WHEAT,IDAHO,4704.0,1196000,12.5,58,6.317153205,1632.248,0.2727272727272727
199,2013,WHEAT,IDAHO,4932.0,1261000,13.31666667,56,7.114405288,1612.053,0.1896551724137931
200,2019,OATS,ILLINOIS,2080.0,10000,12.8125,72,8.861479668,12790.357,0.2228
201,2018,OATS,ILLINOIS,2656.0,25000,9.75,71,7.861128148,12724.685,0.2320617620345141
202,2017,OATS,ILLINOIS,2528.0,20000,10.59375,70,7.4526709,12779.893,0.25810128643543395
203,2016,OATS,ILLINOIS,2592.0,20000,7.5,68,7.168096055,12821.709,0.3189154293092318
204,2015,OATS,ILLINOIS,2464.0,25000,9.03125,69,7.26311855,12859.585,0.35523747560182173
205,2014,OATS,ILLINOIS,2560.0,25000,14.3125,70,5.68597166,12885.092,0.36798179059180575
206,2013,OATS,ILLINOIS,2208.0,25000,12.71875,69,5.759237003,12895.778,0.3336734693877551
207,2019,CORN,ILLINOIS,10136.0,10200000,6.339285714,70,5.949949081,12667.017,0.2228
208,2018,CORN,ILLINOIS,11760.0,10800000,,68,5.789214289,12724.685,0.2320617620345141
209,2017,CORN,ILLINOIS,11256.0,10950000,,69,5.581021521,12779.893,0.25810128643543395
210,2016,CORN,ILLINOIS,11032.0,11450000,6.607142857,70,5.689858133,12821.709,0.3189154293092318
211,2015,CORN,ILLINOIS,9800.0,11500000,6.535714286,69,5.794158504,12859.585,0.35523747560182173
212,2014,CORN,ILLINOIS,11200.0,11750000,7.0,72,5.748190463,12885.092,0.36798179059180575
213,2013,CORN,ILLINOIS,9968.0,11800000,6.803571429,72,5.566522896,12895.778,0.3336734693877551
214,2019,WHEAT,ILLINOIS,4020.0,550000,8.383333333,69,5.792744849,12667.017,0.2228
215,2018,WHEAT,ILLINOIS,3960.0,560000,7.683333333,70,5.912289889,12724.685,0.2320617620345141
216,2017,WHEAT,ILLINOIS,4560.0,470000,6.466666667,69,5.788386951,12779.893,0.25810128643543395
217,2016,WHEAT,ILLINOIS,4440.0,470000,5.133333333,72,5.728233081,12821.709,0.3189154293092318
218,2015,WHEAT,ILLINOIS,3900.0,520000,7.15,72,5.833940084,12859.585,0.35523747560182173
219,2014,WHEAT,ILLINOIS,4020.0,670000,9.8,71,5.967533236,12885.092,0.36798179059180575
220,2013,WHEAT,ILLINOIS,4020.0,840000,11.61666667,70,5.625096446,12895.778,0.3336734693877551
221,2015,OATS,INDIANA,1888.0,5000,9.78125,70,5.515615023,6611.442,0.4090056285178236
222,2014,OATS,INDIANA,2368.0,10000,14.21875,72,5.954665349,6596.019,0.4097560975609756
223,2013,OATS,INDIANA,2272.0,10000,13.28125,72,5.74644777,6570.575,0.35470941883767537
224,2019,CORN,INDIANA,9464.0,4770000,6.857142857,73,5.635231778,6731.01,0.2291904218928164
225,2018,CORN,INDIANA,10584.0,5120000,7.892857143,69,5.679224346,6698.481,0.2294701986754967
226,2017,CORN,INDIANA,10080.0,5200000,8.125,68,5.670062975,6662.068,0.26564673157162727
227,2016,CORN,INDIANA,9688.0,5470000,7.071428571,70,5.724242065,6637.898,0.3344768439108062
228,2015,CORN,INDIANA,8400.0,5480000,6.625,72,5.811314232,6611.442,0.4090056285178236
229,2014,CORN,INDIANA,10528.0,5770000,7.5,72,5.783425416,6596.019,0.4097560975609756
230,2013,CORN,INDIANA,9912.0,5830000,7.892857143,72,5.607808432,6570.575,0.35470941883767537
231,2019,WHEAT,INDIANA,3720.0,260000,8.433333333,69,5.502999119,6731.01,0.2291904218928164
232,2018,WHEAT,INDIANA,4260.0,260000,8.166666667,68,5.821649914,6698.481,0.2294701986754967
233,2017,WHEAT,INDIANA,4440.0,240000,7.716666667,70,5.711439256,6662.068,0.26564673157162727
234,2016,WHEAT,INDIANA,4860.0,280000,6.733333333,72,5.514927264,6637.898,0.3344768439108062
235,2015,WHEAT,INDIANA,4080.0,260000,7.666666667,72,5.99616119,6611.442,0.4090056285178236
236,2014,WHEAT,INDIANA,4560.0,335000,8.166666667,72,5.695422863,6596.019,0.4097560975609756
237,2013,WHEAT,INDIANA,4380.0,435000,11.33333333,71,5.833010958,6570.575,0.35470941883767537
238,2019,OATS,IOWA,1856.0,69000,11.03125,71,5.659254981,3190.904,0.22586872586872586
239,2018,OATS,IOWA,2016.0,33000,9.15625,68,5.945465949,3149.9,0.25742115027829315
240,2017,OATS,IOWA,2464.0,42000,7.9375,70,5.951177452,3143.734,0.27363515312916115
241,2016,OATS,IOWA,2432.0,43000,7.875,68,5.520880014,3133.21,0.38031319910514544
242,2015,OATS,IOWA,2336.0,57000,8.03125,67,5.578410206,3122.541,0.3201058201058201
243,2014,OATS,IOWA,2048.0,55000,11.25,67,5.608165195,3110.643,0.39882697947214074
244,2013,OATS,IOWA,2112.0,60000,12.28125,69,5.609435128,3093.935,0.375
245,2019,CORN,IOWA,11088.0,12950000,6.25,71,5.717143397,3159.596,0.22586872586872586
246,2018,CORN,IOWA,10976.0,12750000,6.464285714,71,5.542690119,3149.9,0.25742115027829315
247,2017,CORN,IOWA,11312.0,12900000,6.5,68,5.858617867,3143.734,0.27363515312916115
248,2016,CORN,IOWA,11368.0,13500000,,70,5.618844277,3133.21,0.38031319910514544
249,2015,CORN,IOWA,10752.0,13050000,6.910714286,68,5.606620346,3122.541,0.3201058201058201
250,2014,CORN,IOWA,9968.0,13300000,8.357142857,67,5.582178402,3110.643,0.39882697947214074
251,2013,CORN,IOWA,9184.0,13050000,7.375,67,5.56503533,3093.935,0.375
252,2018,WHEAT,IOWA,3480.0,6000,7.333333333,69,5.889614577,3149.9,0.25742115027829315
253,2017,WHEAT,IOWA,4080.0,8000,6.666666667,69,5.934136378,3143.734,0.27363515312916115
254,2016,WHEAT,IOWA,3780.0,17000,6.5,70,5.683548308,3133.21,0.38031319910514544
255,2015,WHEAT,IOWA,3120.0,15000,6.916666667,71,5.70836603,3122.541,0.3201058201058201
256,2014,WHEAT,IOWA,2940.0,15000,8.5,72,5.948164454,3110.643,0.39882697947214074
257,2013,WHEAT,IOWA,3120.0,21000,9.583333333,66,5.774755144,3093.935,0.375
258,2019,OATS,KANSAS,2048.0,18000,10.625,62,5.655726817,2938.124,0.24533333333333332
259,2018,OATS,KANSAS,1568.0,18000,10.375,61,5.591704014,2912.748,0.238061797752809
260,2017,OATS,KANSAS,1728.0,25000,9.15625,67,5.932323085,2910.892,0.2585858585858586
261,2016,OATS,KANSAS,1824.0,30000,5.53125,62,5.824208309,2912.977,0.31666666666666665
262,2015,OATS,KANSAS,2080.0,40000,7.96875,61,5.86442953,2910.717,0.37799043062200954
263,2014,OATS,KANSAS,1792.0,15000,11.28125,68,5.866744372,2901.861,0.34965034965034963
264,2013,OATS,KANSAS,1344.0,20000,13.28125,67,5.706198621,2894.306,0.30434782608695654
265,2019,BARLEY,KANSAS,1584.0,4000,5.104166667,62,5.82738029,2912.635,0.24533333333333332
