,Year,Commodity,State,Yield_lb_per_acre,Acres_Harvested,Price_in_CWT,HUMIDITY_%,PH_soil_type,Population,prop_believer,prop_denier,prop_neutral
14,2018,WHEAT,ALABAMA,4320.0,110000,8.416666667,72,5.85393208,4891.628,0.5496417604912999,0.18014329580348004,0.27021494370522003
15,2017,WHEAT,ALABAMA,4620.0,100000,7.833333333,75,6.442475375,4877.989,0.5989304812834224,0.1657754010695187,0.23529411764705882
16,2016,WHEAT,ALABAMA,4200.0,170000,7.666666667,76,5.070175667,4866.824,0.42771084337349397,0.19578313253012047,0.37650602409638556
17,2015,WHEAT,ALABAMA,4080.0,220000,7.916666667,75,6.012632591,4854.803,0.3891891891891892,0.20270270270270271,0.4081081081081081
18,2014,WHEAT,ALABAMA,4140.0,225000,9.083333333,76,6.254028451,4843.737,0.2557651991614256,0.22012578616352202,0.5241090146750524
19,2013,WHEAT,ALABAMA,4140.0,285000,9.566666667,70,7.375482851,4831.586,0.2755905511811024,0.1968503937007874,0.5275590551181102
20,2019,BARLEY,ARIZONA,6048.0,15000,8.645833333,46,6.271478838,7291.843,0.6965558194774347,0.11163895486935867,0.19180522565320665
21,2018,BARLEY,ARIZONA,4800.0,11000,8.0,52,7.224285503,7164.228,0.6393013100436681,0.137117903930131,0.22358078602620088
22,2017,BARLEY,ARIZONA,6288.0,17000,8.145833333,52,6.13428721,7048.088,0.7050302870687385,0.10508296023176192,0.18988675269949962
23,2016,BARLEY,ARIZONA,6144.0,16000,8.458333333,39,5.206373153,6944.767,0.5157232704402516,0.15828092243186584,0.3259958071278826
24,2015,BARLEY,ARIZONA,5760.0,16000,8.645833333,42,7.782051313,6832.81,0.5098039215686274,0.16339869281045752,0.32679738562091504
25,2014,BARLEY,ARIZONA,6000.0,32000,9.25,45,7.062779015,6732.873,0.38799414348462663,0.19619326500732065,0.4158125915080527
26,2013,BARLEY,ARIZONA,5664.0,69000,10.6875,43,7.730367824,6634.69,0.3847402597402597,0.17207792207792208,0.4431818181818182
27,2019,CORN,ARIZONA,12936.0,37000,9.642857143,50,5.658169482,7291.843,0.6965558194774347,0.11163895486935867,0.19180522565320665
28,2018,CORN,ARIZONA,12320.0,20000,8.857142857,50,5.543360238,7164.228,0.6393013100436681,0.137117903930131,0.22358078602620088
29,2017,CORN,ARIZONA,10920.0,32000,7.696428571,43,6.215109715,7048.088,0.7050302870687385,0.10508296023176192,0.18988675269949962
30,2016,CORN,ARIZONA,12040.0,50000,6.446428571,42,7.120272972,6944.767,0.5157232704402516,0.15828092243186584,0.3259958071278826
31,2015,CORN,ARIZONA,11760.0,36000,7.267857143,56,5.950647577,6832.81,0.5098039215686274,0.16339869281045752,0.32679738562091504
32,2014,CORN,ARIZONA,11760.0,28000,7.714285714,51,7.236705436,6732.873,0.38799414348462663,0.19619326500732065,0.4158125915080527
33,2013,CORN,ARIZONA,9912.0,51000,7.482142857,52,6.501697816,6634.69,0.3847402597402597,0.17207792207792208,0.4431818181818182
34,2019,WHEAT,ARIZONA,6240.0,35000,11.01666667,36,6.946209881,7291.843,0.6965558194774347,0.11163895486935867,0.19180522565320665
35,2018,WHEAT,ARIZONA,6156.0,77000,9.216666667,35,5.739175027,7164.228,0.6393013100436681,0.137117903930131,0.22358078602620088
36,2017,WHEAT,ARIZONA,6048.0,105000,9.183333333,46,6.738652179,7048.088,0.7050302870687385,0.10508296023176192,0.18988675269949962
37,2016,WHEAT,ARIZONA,5868.0,103000,8.083333333,37,5.594819626,6944.767,0.5157232704402516,0.15828092243186584,0.3259958071278826
38,2015,WHEAT,ARIZONA,6060.0,152000,6.933333333,38,6.946636369,6832.81,0.5098039215686274,0.16339869281045752,0.32679738562091504
39,2014,WHEAT,ARIZONA,6606.0,83000,8.916666667,46,5.012139669,6732.873,0.38799414348462663,0.19619326500732065,0.4158125915080527
40,2013,WHEAT,ARIZONA,5964.0,84000,10.91666667,47,6.363472208,6634.69,0.3847402597402597,0.17207792207792208,0.4431818181818182
41,2019,OATS,ARKANSAS,2240.0,3000,8.75,64,7.283736617,3014.348,0.652027027027027,0.08108108108108109,0.2668918918918919
42,2018,OATS,ARKANSAS,2400.0,7000,8.59375,64,7.023936392,3012.161,0.5769927536231884,0.1838768115942029,0.2391304347826087
43,2017,OATS,ARKANSAS,2720.0,8000,8.75,63,6.939083505,3003.855,0.6475524475524476,0.12307692307692308,0.22937062937062938
44,2016,OATS,ARKANSAS,2336.0,8000,6.71875,70,7.868474653,2991.815,0.4973544973544973,0.15873015873015872,0.3439153439153439
45,2015,OATS,ARKANSAS,1920.0,8000,9.21875,69,5.005306977,2979.732,0.36666666666666664,0.19444444444444445,0.4388888888888889
46,2014,OATS,ARKANSAS,2880.0,8000,12.34375,70,6.136131869,2968.759,0.2968036529680365,0.228310502283105,0.4748858447488584
47,2013,OATS,ARKANSAS,2336.0,7000,10.625,64,7.524080076,2960.459,0.31155778894472363,0.18592964824120603,0.5025125628140703
48,2019,CORN,ARKANSAS,9800.0,735000,6.892857143,69,5.999969026,3020.985,0.652027027027027,0.08108108108108109,0.2668918918918919
49,2018,CORN,ARKANSAS,10136.0,645000,6.785714286,69,5.453592032,3012.161,0.5769927536231884,0.1838768115942029,0.2391304347826087
50,2017,CORN,ARKANSAS,10248.0,595000,,72,6.372576327,3003.855,0.6475524475524476,0.12307692307692308,0.22937062937062938
51,2016,CORN,ARKANSAS,9576.0,745000,6.410714286,68,5.105588355,2991.815,0.4973544973544973,0.15873015873015872,0.3439153439153439
52,2015,CORN,ARKANSAS,10136.0,445000,5.375,69,5.935344406,2979.732,0.36666666666666664,0.19444444444444445,0.4388888888888889
53,2014,CORN,ARKANSAS,10472.0,530000,5.857142857,68,5.17782304,2968.759,0.2968036529680365,0.228310502283105,0.4748858447488584
54,2013,CORN,ARKANSAS,10416.0,870000,5.964285714,67,6.462391607,2960.459,0.31155778894472363,0.18592964824120603,0.5025125628140703
55,2019,WHEAT,ARKANSAS,3120.0,50000,8.533333333,68,7.549873681,3020.985,0.652027027027027,0.08108108108108109,0.2668918918918919
56,2018,WHEAT,ARKANSAS,3300.0,95000,,71,6.028321558,3012.161,0.5769927536231884,0.1838768115942029,0.2391304347826087
57,2017,WHEAT,ARKANSAS,3120.0,125000,8.166666667,68,6.604993475,3003.855,0.6475524475524476,0.12307692307692308,0.22937062937062938
58,2016,WHEAT,ARKANSAS,3240.0,115000,7.833333333,67,6.500343222,2991.815,0.4973544973544973,0.15873015873015872,0.3439153439153439
59,2015,WHEAT,ARKANSAS,3360.0,240000,8.0,65,5.935745417,2979.732,0.36666666666666664,0.19444444444444445,0.4388888888888889
60,2014,WHEAT,ARKANSAS,3780.0,395000,9.0,67,7.072655622,2968.759,0.2968036529680365,0.228310502283105,0.4748858447488584
61,2013,WHEAT,ARKANSAS,3720.0,610000,9.5,68,5.333322606,2960.459,0.31155778894472363,0.18592964824120603,0.5025125628140703
62,2019,OATS,CALIFORNIA,1920.0,2000,,69,6.596060648,39503.2,0.7546231108607904,0.0739697737726462,0.17140711536656342
63,2018,OATS,CALIFORNIA,2240.0,6000,,70,5.970458434,39437.463,0.681764645637034,0.0950686194182712,0.2231667349446948
64,2017,OATS,CALIFORNIA,2080.0,10000,9.0625,71,6.158830619,39337.785,0.723925371907619,0.08494287827730747,0.19113174981507355
65,2016,OATS,CALIFORNIA,2080.0,11000,11.875,76,6.047906679,39149.186,0.6165042235217674,0.09655620532813515,0.28693957115009744
66,2015,OATS,CALIFORNIA,1920.0,10000,10.15625,61,5.913664501,38904.296,0.5714285714285714,0.11288483466362599,0.31568659390780257
67,2014,OATS,CALIFORNIA,3200.0,10000,10.0,67,5.855442401,38586.706,0.4351245085190039,0.15221868563939336,0.4126568058416027
68,2013,OATS,CALIFORNIA,2560.0,15000,10.5625,64,5.750254943,38253.768,0.4411172622043281,0.12984398590840462,0.42903875188726726
69,2019,BARLEY,CALIFORNIA,3168.0,47000,9.604166667,67,6.082973754,39437.61,0.7546231108607904,0.0739697737726462,0.17140711536656342
70,2018,BARLEY,CALIFORNIA,3312.0,24000,10.08333333,69,5.919045532,39437.463,0.681764645637034,0.0950686194182712,0.2231667349446948
71,2017,BARLEY,CALIFORNIA,2400.0,29000,10.04166667,71,6.204747653,39337.785,0.723925371907619,0.08494287827730747,0.19113174981507355
72,2016,BARLEY,CALIFORNIA,3600.0,60000,8.958333333,71,6.600827017,39149.186,0.6165042235217674,0.09655620532813515,0.28693957115009744
73,2015,BARLEY,CALIFORNIA,2640.0,29000,10.10416667,67,6.021902237,38904.296,0.5714285714285714,0.11288483466362599,0.31568659390780257
74,2014,BARLEY,CALIFORNIA,3504.0,25000,10.91666667,68,6.033550195,38586.706,0.4351245085190039,0.15221868563939336,0.4126568058416027
75,2013,BARLEY,CALIFORNIA,3600.0,42000,12.10416667,67,6.28886807,38253.768,0.4411172622043281,0.12984398590840462,0.42903875188726726
76,2019,CORN,CALIFORNIA,9408.0,60000,8.214285714,69,5.716222912,39437.61,0.7546231108607904,0.0739697737726462,0.17140711536656342
77,2018,CORN,CALIFORNIA,9688.0,65000,7.857142857,70,5.54990242,39437.463,0.681764645637034,0.0950686194182712,0.2231667349446948
78,2017,CORN,CALIFORNIA,9352.0,80000,7.25,71,6.586244581,39337.785,0.723925371907619,0.08494287827730747,0.19113174981507355
79,2016,CORN,CALIFORNIA,10360.0,100000,6.75,76,5.893093135,39149.186,0.6165042235217674,0.09655620532813515,0.28693957115009744
80,2015,CORN,CALIFORNIA,8792.0,60000,6.446428571,61,5.918263801,38904.296,0.5714285714285714,0.11288483466362599,0.31568659390780257
81,2014,CORN,CALIFORNIA,9240.0,95000,6.946428571,67,5.588650585,38586.706,0.4351245085190039,0.15221868563939336,0.4126568058416027
82,2013,CORN,CALIFORNIA,10696.0,180000,6.75,64,6.576418207,38253.768,0.4411172622043281,0.12984398590840462,0.42903875188726726
83,2019,WHEAT,CALIFORNIA,3564.0,122000,9.916666667,67,5.680361038,39437.61,0.7546231108607904,0.0739697737726462,0.17140711536656342
84,2018,WHEAT,CALIFORNIA,4878.0,150000,7.566666667,69,6.625404348,39437.463,0.681764645637034,0.0950686194182712,0.2231667349446948
85,2017,WHEAT,CALIFORNIA,4092.0,182000,7.583333333,71,6.524478032,39337.785,0.723925371907619,0.08494287827730747,0.19113174981507355
86,2016,WHEAT,CALIFORNIA,4782.0,217000,6.916666667,71,5.696205468,39149.186,0.6165042235217674,0.09655620532813515,0.28693957115009744
87,2015,WHEAT,CALIFORNIA,4746.0,235000,5.85,67,6.803931519,38904.296,0.5714285714285714,0.11288483466362599,0.31568659390780257
88,2014,WHEAT,CALIFORNIA,5004.0,220000,7.333333333,68,6.252797548,38586.706,0.4351245085190039,0.15221868563939336,0.4126568058416027
89,2013,WHEAT,CALIFORNIA,4950.0,394000,7.916666667,67,6.092725883,38253.768,0.4411172622043281,0.12984398590840462,0.42903875188726726
90,2018,OATS,COLORADO,1600.0,7000,11.4375,50,6.234330356,5697.155,0.7138214904679376,0.1022530329289428,0.1839254766031196
91,2017,OATS,COLORADO,2080.0,9000,10.0,52,5.722579819,5617.421,0.7286245353159851,0.09975216852540272,0.17162329615861213
92,2016,OATS,COLORADO,2560.0,10000,8.34375,47,6.430616465,5543.844,0.6044852191641182,0.11518858307849134,0.2803261977573904
93,2015,OATS,COLORADO,2560.0,10000,10.9375,51,5.983952675,5454.328,0.5525164113785558,0.15536105032822758,0.2921225382932166
94,2014,OATS,COLORADO,1920.0,9000,11.3125,48,6.80163854,5352.637,0.39689922480620154,0.19689922480620156,0.4062015503875969
95,2013,OATS,COLORADO,2080.0,12000,15.34375,46,6.499936446,5270.774,0.3819444444444444,0.17708333333333334,0.4409722222222222
96,2019,BARLEY,COLORADO,6624.0,52000,10.14583333,52,6.807487794,5758.486,0.7476190476190476,0.09619047619047619,0.15619047619047619
97,2018,BARLEY,COLORADO,6960.0,52000,9.479166667,50,6.671085817,5697.155,0.7138214904679376,0.1022530329289428,0.1839254766031196
98,2017,BARLEY,COLORADO,6336.0,68000,9.583333333,52,6.648725327,5617.421,0.7286245353159851,0.09975216852540272,0.17162329615861213
99,2016,BARLEY,COLORADO,6192.0,75000,11.0625,47,6.439071996,5543.844,0.6044852191641182,0.11518858307849134,0.2803261977573904
100,2015,BARLEY,COLORADO,6240.0,63000,12.91666667,51,6.474476516,5454.328,0.5525164113785558,0.15536105032822758,0.2921225382932166
101,2014,BARLEY,COLORADO,5952.0,54000,12.04166667,48,5.871647806,5352.637,0.39689922480620154,0.19689922480620156,0.4062015503875969
102,2013,BARLEY,COLORADO,6384.0,58000,11.9375,46,5.730617109,5270.774,0.3819444444444444,0.17708333333333334,0.4409722222222222
103,2019,CORN,COLORADO,6888.0,1300000,6.571428571,52,6.272417541,5758.486,0.7476190476190476,0.09619047619047619,0.15619047619047619
104,2018,CORN,COLORADO,7224.0,1190000,6.607142857,50,5.715208817,5697.155,0.7138214904679376,0.1022530329289428,0.1839254766031196
105,2017,CORN,COLORADO,8008.0,1300000,7.339285714,52,5.773454729,5617.421,0.7286245353159851,0.09975216852540272,0.17162329615861213
106,2016,CORN,COLORADO,7672.0,1170000,6.910714286,47,5.584171461,5543.844,0.6044852191641182,0.11518858307849134,0.2803261977573904
107,2015,CORN,COLORADO,7952.0,950000,6.053571429,51,5.787268394,5454.328,0.5525164113785558,0.15536105032822758,0.2921225382932166
108,2014,CORN,COLORADO,8176.0,1010000,7.017857143,48,5.77597783,5352.637,0.39689922480620154,0.19689922480620156,0.4062015503875969
109,2013,CORN,COLORADO,7336.0,980000,7.339285714,46,6.864793607,5270.774,0.3819444444444444,0.17708333333333334,0.4409722222222222
110,2019,WHEAT,COLORADO,2940.0,2000000,6.683333333,52,6.960358276,5758.486,0.7476190476190476,0.09619047619047619,0.15619047619047619
111,2018,WHEAT,COLORADO,2166.0,1954000,6.566666667,50,6.11275104,5697.155,0.7138214904679376,0.1022530329289428,0.1839254766031196
112,2017,WHEAT,COLORADO,2592.0,2029000,7.916666667,52,6.708446922,5617.421,0.7286245353159851,0.09975216852540272,0.17162329615861213
113,2016,WHEAT,COLORADO,2892.0,2200000,6.5,47,5.561510732,5543.844,0.6044852191641182,0.11518858307849134,0.2803261977573904
114,2015,WHEAT,COLORADO,2226.0,2197000,5.366666667,51,5.873242491,5454.328,0.5525164113785558,0.15536105032822758,0.2921225382932166
115,2014,WHEAT,COLORADO,2286.0,2358000,7.066666667,48,6.995843776,5352.637,0.39689922480620154,0.19689922480620156,0.4062015503875969
116,2013,WHEAT,COLORADO,1518.0,1639000,9.45,46,5.714799723,5270.774,0.3819444444444444,0.17708333333333334,0.4409722222222222
117,2019,BARLEY,DELAWARE,3840.0,14000,6.979166667,67,6.352471866,976.668,0.7653061224489796,0.07142857142857142,0.16326530612244897
118,2018,BARLEY,DELAWARE,3744.0,12000,5.416666667,65,6.822586546,966.985,0.6176470588235294,0.10427807486631016,0.27807486631016043
119,2017,BARLEY,DELAWARE,4080.0,18000,6.041666667,66,6.655426355,957.942,0.6701570680628273,0.06806282722513089,0.2617801047120419
120,2016,BARLEY,DELAWARE,3648.0,25000,5.5,66,6.121294041,949.989,0.5507246376811594,0.11594202898550725,0.3333333333333333
121,2015,BARLEY,DELAWARE,3840.0,22000,5.833333333,66,5.790770203,942.065,0.4605263157894737,0.18421052631578946,0.35526315789473684
122,2014,BARLEY,DELAWARE,4128.0,31000,7.604166667,67,6.47444292,933.131,0.3220338983050847,0.288135593220339,0.3898305084745763
123,2013,BARLEY,DELAWARE,3744.0,33000,9.895833333,66,6.455116637,924.062,0.4642857142857143,0.16071428571428573,0.375
124,2019,CORN,DELAWARE,9016.0,180000,7.678571429,66,5.721667141,976.668,0.7653061224489796,0.07142857142857142,0.16326530612244897
125,2018,CORN,DELAWARE,8120.0,165000,,66,6.644205485,966.985,0.6176470588235294,0.10427807486631016,0.27807486631016043
126,2017,CORN,DELAWARE,10584.0,171000,7.285714286,67,6.376651091,957.942,0.6701570680628273,0.06806282722513089,0.2617801047120419
127,2016,CORN,DELAWARE,9520.0,164000,,66,6.247040422,949.989,0.5507246376811594,0.11594202898550725,0.3333333333333333
128,2015,CORN,DELAWARE,10752.0,164000,7.589285714,67,6.656730008,942.065,0.4605263157894737,0.18421052631578946,0.35526315789473684
129,2014,CORN,DELAWARE,11200.0,168000,7.142857143,65,6.2048017,933.131,0.3220338983050847,0.288135593220339,0.3898305084745763
130,2013,CORN,DELAWARE,9296.0,174000,7.946428571,66,6.158860284,924.062,0.4642857142857143,0.16071428571428573,0.375
131,2019,WHEAT,DELAWARE,4320.0,50000,8.25,62,6.877869005,976.668,0.7653061224489796,0.07142857142857142,0.16326530612244897
132,2018,WHEAT,DELAWARE,4260.0,45000,8.25,63,7.485996067,966.985,0.6176470588235294,0.10427807486631016,0.27807486631016043
133,2017,WHEAT,DELAWARE,4380.0,60000,7.666666667,66,6.920251378,957.942,0.6701570680628273,0.06806282722513089,0.2617801047120419
134,2016,WHEAT,DELAWARE,4020.0,65000,7.416666667,67,5.996932037,949.989,0.5507246376811594,0.11594202898550725,0.3333333333333333
135,2015,WHEAT,DELAWARE,3900.0,65000,8.583333333,66,6.391173589,942.065,0.4605263157894737,0.18421052631578946,0.35526315789473684
136,2014,WHEAT,DELAWARE,4320.0,75000,9.916666667,67,7.152811172,933.131,0.3220338983050847,0.288135593220339,0.3898305084745763
137,2013,WHEAT,DELAWARE,3840.0,78000,11.41666667,65,5.988992796,924.062,0.4642857142857143,0.16071428571428573,0.375
138,2019,CORN,FLORIDA,9016.0,54000,7.839285714,76,8.753795334,21492.056,0.7159264931087289,0.10923940786115365,0.1748340990301174
139,2018,CORN,FLORIDA,8792.0,62000,7.339285714,74,8.718192847,21254.926,0.6502247527719509,0.12220557386874438,0.22756967335930475
140,2017,CORN,FLORIDA,9016.0,37000,6.285714286,73,7.976607593,20977.089,0.7126288659793815,0.10656225218080888,0.18080888183980967
141,2016,CORN,FLORIDA,8120.0,40000,7.857142857,74,6.515499549,20627.237,0.5200501253132832,0.16123642439431912,0.31871345029239767
142,2015,CORN,FLORIDA,7896.0,50000,7.214285714,75,8.490127142,20219.111,0.45563976816763263,0.17744092732946945,0.3669193045028979
143,2014,CORN,FLORIDA,7560.0,40000,7.089285714,76,6.576415562,19853.88,0.31314118221787984,0.22960429897410845,0.4572545188080117
144,2013,CORN,FLORIDA,7448.0,78000,6.964285714,75,6.481783043,19551.678,0.29719137818419333,0.18811234487263226,0.5146962769431744
145,2018,WHEAT,FLORIDA,2160.0,10000,11.68333333,75,7.966605025,21254.926,0.6502247527719509,0.12220557386874438,0.22756967335930475
146,2017,WHEAT,FLORIDA,2220.0,10000,11.76666667,76,8.140825437,20977.089,0.7126288659793815,0.10656225218080888,0.18080888183980967
147,2016,WHEAT,FLORIDA,1800.0,15000,11.16666667,78,7.228963452,20627.237,0.5200501253132832,0.16123642439431912,0.31871345029239767
148,2015,WHEAT,FLORIDA,2580.0,15000,15.23333333,76,6.492546046,20219.111,0.45563976816763263,0.17744092732946945,0.3669193045028979
149,2014,WHEAT,FLORIDA,2340.0,10000,13.93333333,74,7.528599957,19853.88,0.31314118221787984,0.22960429897410845,0.4572545188080117
150,2013,WHEAT,FLORIDA,3540.0,19000,14.56666667,73,7.701446446,19551.678,0.29719137818419333,0.18811234487263226,0.5146962769431744
151,2019,OATS,GEORGIA,1760.0,15000,12.8125,70,6.204090835,10732.39,0.744421906693712,0.07234617985125084,0.1832319134550372
152,2018,OATS,GEORGIA,2272.0,15000,12.96875,68,6.051091339,10519.389,0.6133521225999647,0.11995772415007927,0.266690153249956
153,2017,OATS,GEORGIA,1568.0,15000,11.46875,71,7.690962338,10417.031,0.6933147632311978,0.0988857938718663,0.20779944289693594
154,2016,OATS,GEORGIA,1856.0,15000,11.25,68,7.829211144,10308.442,0.5284403669724771,0.13486238532110092,0.336697247706422
155,2015,OATS,GEORGIA,1440.0,25000,12.8125,71,6.761599706,10183.353,0.45281220209723544,0.1534795042897998,0.3937082936129647
156,2014,OATS,GEORGIA,1728.0,20000,14.0625,68,6.654425315,10071.204,0.2922922922922923,0.24524524524524524,0.4624624624624625
157,2013,OATS,GEORGIA,1920.0,18000,11.875,69,6.129533877,9975.592,0.32211538461538464,0.171875,0.5060096153846154
158,2019,CORN,GEORGIA,8960.0,350000,8.089285714,70,6.18042747,10628.02,0.744421906693712,0.07234617985125084,0.1832319134550372
159,2018,CORN,GEORGIA,9856.0,285000,7.982142857,68,7.978996755,10519.389,0.6133521225999647,0.11995772415007927,0.266690153249956
160,2017,CORN,GEORGIA,9856.0,245000,6.589285714,71,7.863113671,10417.031,0.6933147632311978,0.0988857938718663,0.20779944289693594
161,2016,CORN,GEORGIA,9240.0,340000,5.517857143,68,6.967843048,10308.442,0.5284403669724771,0.13486238532110092,0.336697247706422
162,2015,CORN,GEORGIA,9576.0,285000,6.589285714,71,6.206582193,10183.353,0.45281220209723544,0.1534795042897998,0.3937082936129647
163,2014,CORN,GEORGIA,9520.0,310000,7.25,68,8.868741443,10071.204,0.2922922922922923,0.24524524524524524,0.4624624624624625
164,2013,CORN,GEORGIA,9800.0,465000,6.964285714,69,8.766128654,9975.592,0.32211538461538464,0.171875,0.5060096153846154
165,2019,WHEAT,GEORGIA,3360.0,50000,,70,7.496645259,10628.02,0.744421906693712,0.07234617985125084,0.1832319134550372
166,2018,WHEAT,GEORGIA,3240.0,70000,8.133333333,68,8.380185271,10519.389,0.6133521225999647,0.11995772415007927,0.266690153249956
167,2017,WHEAT,GEORGIA,2820.0,70000,7.433333333,71,6.289614016,10417.031,0.6933147632311978,0.0988857938718663,0.20779944289693594
168,2016,WHEAT,GEORGIA,2760.0,110000,7.766666667,68,6.586777189,10308.442,0.5284403669724771,0.13486238532110092,0.336697247706422
169,2015,WHEAT,GEORGIA,2580.0,145000,8.616666667,71,6.89655198,10183.353,0.45281220209723544,0.1534795042897998,0.3937082936129647
170,2014,WHEAT,GEORGIA,2940.0,230000,9.366666667,68,7.806747656,10071.204,0.2922922922922923,0.24524524524524524,0.4624624624624625
171,2013,WHEAT,GEORGIA,3600.0,360000,11.73333333,69,7.150681303,9975.592,0.32211538461538464,0.171875,0.5060096153846154
172,2019,OATS,IDAHO,2944.0,12000,10.21875,57,8.255450758,1849.339,0.6576576576576577,0.1036036036036036,0.23873873873873874
173,2018,OATS,IDAHO,2688.0,10000,8.75,57,6.456148474,1752.074,0.545766590389016,0.18421052631578946,0.2700228832951945
174,2017,OATS,IDAHO,2272.0,10000,8.53125,58,6.613072145,1719.745,0.6445556946182729,0.14518147684605756,0.21026282853566958
175,2016,OATS,IDAHO,2656.0,15000,7.96875,60,8.165359297,1684.036,0.5491329479768786,0.12716763005780346,0.3236994219653179
176,2015,OATS,IDAHO,2752.0,15000,8.96875,59,7.64867466,1652.495,0.5631578947368421,0.15789473684210525,0.2789473684210526
177,2014,OATS,IDAHO,2624.0,15000,8.25,58,6.545888558,1632.248,0.3068181818181818,0.22727272727272727,0.4659090909090909
178,2013,OATS,IDAHO,2336.0,15000,11.875,56,7.104224797,1612.053,0.29310344827586204,0.2413793103448276,0.46551724137931033
179,2019,BARLEY,IDAHO,4992.0,530000,10.45833333,57,7.064790365,1789.06,0.6576576576576577,0.1036036036036036,0.23873873873873874
180,2018,BARLEY,IDAHO,4848.0,530000,10.47916667,57,7.599033472,1752.074,0.545766590389016,0.18421052631578946,0.2700228832951945
181,2017,BARLEY,IDAHO,4560.0,510000,9.895833333,58,6.715587232,1719.745,0.6445556946182729,0.14518147684605756,0.21026282853566958
182,2016,BARLEY,IDAHO,5136.0,580000,10.8125,60,6.81712422,1684.036,0.5491329479768786,0.12716763005780346,0.3236994219653179
183,2015,BARLEY,IDAHO,4656.0,580000,12.20833333,59,7.985417393,1652.495,0.5631578947368421,0.15789473684210525,0.2789473684210526
184,2014,BARLEY,IDAHO,4512.0,550000,10.64583333,58,7.545258424,1632.248,0.3068181818181818,0.22727272727272727,0.4659090909090909
185,2013,BARLEY,IDAHO,4464.0,620000,13.375,56,7.728998197,1612.053,0.29310344827586204,0.2413793103448276,0.46551724137931033
186,2019,CORN,IDAHO,11480.0,150000,7.982142857,57,6.307004923,1789.06,0.6576576576576577,0.1036036036036036,0.23873873873873874
187,2018,CORN,IDAHO,11928.0,125000,7.767857143,57,6.403982316,1752.074,0.545766590389016,0.18421052631578946,0.2700228832951945
188,2017,CORN,IDAHO,11368.0,115000,7.214285714,58,7.599279991,1719.745,0.6445556946182729,0.14518147684605756,0.21026282853566958
189,2016,CORN,IDAHO,10528.0,100000,6.339285714,60,7.217018459,1684.036,0.5491329479768786,0.12716763005780346,0.3236994219653179
190,2015,CORN,IDAHO,11592.0,70000,5.517857143,59,7.561108006,1652.495,0.5631578947368421,0.15789473684210525,0.2789473684210526
191,2014,CORN,IDAHO,11200.0,80000,5.892857143,58,7.489545074,1632.248,0.3068181818181818,0.22727272727272727,0.4659090909090909
192,2013,CORN,IDAHO,10136.0,115000,5.964285714,56,6.609696734,1612.053,0.29310344827586204,0.2413793103448276,0.46551724137931033
193,2019,WHEAT,IDAHO,5268.0,1125000,8.166666667,57,7.786366322,1789.06,0.6576576576576577,0.1036036036036036,0.23873873873873874
194,2018,WHEAT,IDAHO,5514.0,1136000,10.65,57,6.408437886,1752.074,0.545766590389016,0.18421052631578946,0.2700228832951945
195,2017,WHEAT,IDAHO,4908.0,1109000,9.033333333,58,8.423873703,1719.745,0.6445556946182729,0.14518147684605756,0.21026282853566958
196,2016,WHEAT,IDAHO,5484.0,1125000,8.45,60,8.719960893,1684.036,0.5491329479768786,0.12716763005780346,0.3236994219653179
